사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.02E+15,2019년 7월 4일 18시,목요일,서울특별시 강남구 역삼동,강남대로,경상사고,0,0,1,1,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,건설기계,남,28세,기타불명,승용,남,65세,경상
2.02E+15,2019년 12월 3일 19시,화요일,서울특별시 강남구 역삼동,언주로70길,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,50세,상해없음,보행자,여,65세,경상
2.02E+15,2019년 4월 1일 09시,월요일,서울특별시 강남구 개포동,양재대로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,57세,상해없음,보행자,남,65세,중상
2.02E+15,2019년 5월 22일 08시,수요일,서울특별시 강남구 개포동,논현로16길,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,52세,상해없음,승용,남,65세,경상
2.02E+15,2019년 8월 14일 11시,수요일,서울특별시 강남구 개포동,논현로,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,28세,상해없음,승용,여,65세,경상
2.02E+15,2019년 6월 27일 05시,목요일,서울특별시 강남구 개포동,언주로,중상사고,0,1,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,63세,상해없음,승용,남,65세,중상
2.02E+15,2019년 11월 3일 22시,일요일,서울특별시 강남구 청담동,도산대로,중상사고,0,1,0,0,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,24세,상해없음,화물,남,65세,중상
2.02E+15,2019년 5월 15일 14시,수요일,서울특별시 강남구 삼성동,학동로,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,28세,상해없음,승용,여,65세,경상
2.02E+15,2019년 9월 30일 03시,월요일,서울특별시 강남구 삼성동,봉은사로86길,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,49세,상해없음,보행자,남,65세,중상
2.02E+15,2019년 10월 31일 23시,목요일,서울특별시 강남구 대치동,분당수서로,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,78세,상해없음,승용,남,65세,경상
2.02E+15,2019년 1월 28일 01시,월요일,서울특별시 강남구 대치동,도곡로,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,63세,상해없음,승용,남,65세,경상
2.02E+15,2019년 8월 16일 01시,금요일,서울특별시 강남구 신사동,압구정로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,73세,상해없음,보행자,여,65세,경상
2.02E+15,2019년 6월 17일 11시,월요일,서울특별시 강남구 신사동,가로수길,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,포장 - 건조,맑음,기타 - 기타,사륜오토바이(ATV),여,53세,상해없음,보행자,여,65세,중상
2.02E+15,2019년 6월 12일 19시,수요일,서울특별시 강남구 논현동,언주로114길,경상사고,0,0,1,0,차대차 - 기타,불법유턴,포장 - 건조,맑음,단일로 - 기타,개인형이동수단(PM),남,30세,경상,승용,남,65세,상해없음
