사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.01907E+15,2019년 7월 14일 10시,일요일,서울특별시 강북구 번동,오현로32길,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,58세,상해없음,보행자,여,88세,중상
2.01901E+15,2019년 1월 21일 17시,월요일,서울특별시 강북구 미아동,도봉로50길,중상사고,0,1,0,0,차대사람 - 기타,기타,포장 - 건조,맑음,기타 - 기타,이륜,남,29세,상해없음,보행자,여,86세,중상
2.01902E+15,2019년 2월 28일 17시,목요일,서울특별시 강북구 수유동,덕릉로19길,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,화물,남,36세,상해없음,보행자,여,85세,중상
2.01903E+15,2019년 3월 25일 16시,월요일,서울특별시 강북구 수유동,한천로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,56세,상해없음,보행자,남,85세,중상
2.01901E+15,2019년 1월 30일 16시,수요일,서울특별시 강북구 미아동,솔샘로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,53세,상해없음,보행자,여,84세,중상
2.01906E+15,2019년 6월 1일 12시,토요일,서울특별시 강북구 미아동,삼양로,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,47세,상해없음,보행자,남,84세,경상
2.01909E+15,2019년 9월 26일 18시,목요일,서울특별시 강북구 미아동,도봉로,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,여,34세,상해없음,승용,남,83세,상해없음
2.01912E+15,2019년 12월 4일 08시,수요일,서울특별시 강북구 수유동,한천로,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,46세,경상,보행자,남,83세,상해없음
2.0191E+15,2019년 10월 11일 07시,금요일,서울특별시 강북구 미아동,도봉로67길,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,65세,상해없음,보행자,남,82세,중상
2.0191E+15,2019년 10월 19일 12시,토요일,서울특별시 강북구 미아동,인수봉로,중상사고,0,1,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,40세,상해없음,이륜,남,82세,경상
2.01911E+15,2019년 11월 30일 14시,토요일,서울특별시 강북구 수유동,도봉로77길,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,26세,상해없음,보행자,남,82세,경상
2.01907E+15,2019년 7월 16일 09시,화요일,서울특별시 강북구 수유동,인수봉로,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,54세,상해없음,이륜,남,82세,중상
2.0191E+15,2019년 10월 7일 12시,월요일,서울특별시 강북구 미아동,삼양로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로안,승용,여,36세,상해없음,보행자,남,81세,중상
