사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.01912E+15,2019년 12월 16일 13시,월요일,서울특별시 강서구 마곡동,마곡중앙8로1길,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,66세,상해없음,이륜,남,86세,중상
2.01903E+15,2019년 3월 27일 10시,수요일,서울특별시 강서구 가양동,양천로49길,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,28세,상해없음,보행자,남,85세,중상
2.01911E+15,2019년 11월 29일 17시,금요일,서울특별시 강서구 방화동,양천로24길,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,보행자,여,85세,중상
2.01905E+15,2019년 5월 23일 14시,목요일,서울특별시 강서구 등촌동,공항대로39길,부상신고사고,0,0,0,1,차대차 - 측면충돌,기타,포장 - 건조,맑음,교차로 - 교차로횡단보도내,자전거,남,66세,부상신고,자전거,남,84세,상해없음
2.01912E+15,2019년 12월 11일 12시,수요일,서울특별시 강서구 화곡동,곰달래로,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,37세,상해없음,보행자,여,83세,중상
2.0191E+15,2019년 10월 28일 05시,월요일,서울특별시 강서구 공항동,남부순환로,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,61세,상해없음,보행자,여,82세,사망
2.01908E+15,2019년 8월 1일 16시,목요일,서울특별시 강서구 등촌동,화곡로69길,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,53세,상해없음,보행자,여,81세,중상
2.01902E+15,2019년 2월 1일 16시,금요일,서울특별시 강서구 화곡동,강서로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,40세,상해없음,보행자,여,81세,중상
2.01911E+15,2019년 11월 11일 11시,월요일,서울특별시 강서구 염창동,올림픽대로,경상사고,0,0,1,0,차대차 - 기타,차로위반,포장 - 건조,맑음,단일로 - 기타,승용,남,33세,상해없음,승용,남,80세,경상
2.01901E+15,2019년 1월 3일 20시,목요일,서울특별시 강서구 염창동,올림픽대로,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,66세,상해없음,보행자,여,80세,중상
2.01908E+15,2019년 8월 27일 12시,화요일,서울특별시 강서구 등촌동,양천로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,자전거,남,78세,상해없음,보행자,여,80세,경상
2.01906E+15,2019년 6월 24일 10시,월요일,서울특별시 강서구 등촌동,등촌로51길,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,41세,상해없음,보행자,여,80세,중상
2.01911E+15,2019년 11월 16일 19시,토요일,서울특별시 강서구 화곡동,화곡로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,54세,상해없음,보행자,여,80세,경상
2.01902E+15,2019년 2월 16일 21시,토요일,서울특별시 강서구 화곡동,강서로17길,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,50세,상해없음,자전거,남,80세,중상
2.01905E+15,2019년 5월 14일 16시,화요일,서울특별시 강서구 화곡동,가로공원로,사망사고,1,0,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,승합,남,58세,상해없음,자전거,남,80세,사망
2.01904E+15,2019년 4월 29일 05시,월요일,서울특별시 강서구 방화동,초원로,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,55세,상해없음,보행자,남,80세,경상
2.01908E+15,2019년 8월 30일 14시,금요일,서울특별시 강서구 화곡동,곰달래로,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,29세,상해없음,보행자,여,79세,중상
2.01905E+15,2019년 5월 29일 10시,수요일,서울특별시 강서구 화곡동,화곡로,부상신고사고,0,0,0,1,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,42세,부상신고,승용,남,79세,상해없음
2.01904E+15,2019년 4월 19일 17시,금요일,서울특별시 강서구 화곡동,등촌로,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,65세,상해없음,자전거,남,79세,중상
2.0191E+15,2019년 10월 28일 12시,월요일,서울특별시 강서구 화곡동,강서로18길,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,36세,상해없음,보행자,여,79세,경상
2.01903E+15,2019년 3월 19일 13시,화요일,서울특별시 강서구 가양동,양천로49길,중상사고,0,3,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,54세,상해없음,보행자,여,79세,중상
2.01911E+15,2019년 11월 5일 05시,화요일,서울특별시 강서구 방화동,금낭화로,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,53세,상해없음,보행자,여,79세,사망
2.01902E+15,2019년 2월 14일 17시,목요일,서울특별시 강서구 화곡동,국회대로7길,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,25세,상해없음,보행자,남,78세,경상
2.01903E+15,2019년 3월 20일 13시,수요일,서울특별시 강서구 화곡동,곰달래로49길,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,35세,상해없음,보행자,여,78세,사망
2.01911E+15,2019년 11월 16일 19시,토요일,서울특별시 강서구 가양동,양천로47길,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로부근,화물,남,47세,기타불명,보행자,남,78세,경상
2.01912E+15,2019년 12월 17일 11시,화요일,서울특별시 강서구 마곡동,마곡중앙로,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로횡단보도내,승용,여,29세,상해없음,자전거,남,78세,경상
2.01903E+15,2019년 3월 20일 05시,수요일,서울특별시 강서구 방화동,양천로27길,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,41세,상해없음,보행자,여,78세,경상
2.01904E+15,2019년 4월 17일 20시,수요일,서울특별시 강서구 화곡동,곰달래로,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,59세,상해없음,자전거,여,77세,중상
2.01907E+15,2019년 7월 9일 12시,화요일,서울특별시 강서구 화곡동,까치산로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,46세,상해없음,보행자,여,77세,중상
2.01901E+15,2019년 1월 31일 02시,목요일,서울특별시 강서구 화곡동,화곡로,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,46세,상해없음,보행자,남,77세,경상
2.0191E+15,2019년 10월 27일 18시,일요일,서울특별시 강서구 방화동,방화동로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,68세,상해없음,보행자,여,77세,중상
2.01906E+15,2019년 6월 21일 20시,금요일,서울특별시 강서구 방화동,금낭화로,부상신고사고,0,0,0,1,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로안,승용,남,41세,상해없음,보행자,여,77세,부상신고
2.01901E+15,2019년 1월 5일 19시,토요일,서울특별시 강서구 방화동,양천로,경상사고,0,0,1,0,차대사람 - 횡단중,과속,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,28세,상해없음,보행자,남,77세,경상
2.01901E+15,2019년 1월 24일 12시,목요일,서울특별시 강서구 등촌동,공항대로41길,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,화물,남,63세,상해없음,보행자,남,76세,중상
2.01907E+15,2019년 7월 30일 08시,화요일,서울특별시 강서구 등촌동,강서로56길,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,흐림,교차로 - 교차로안,승용,남,60세,상해없음,승용,남,76세,경상
2.01912E+15,2019년 12월 14일 15시,토요일,서울특별시 강서구 등촌동,양천로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,65세,상해없음,보행자,여,76세,중상
2.01901E+15,2019년 1월 4일 01시,금요일,서울특별시 강서구 마곡동,공항대로,경상사고,0,0,2,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,68세,상해없음,승용,남,76세,상해없음
2.01911E+15,2019년 11월 3일 05시,일요일,서울특별시 강서구 방화동,금낭화로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,63세,상해없음,보행자,여,76세,중상
2.0191E+15,2019년 10월 28일 15시,월요일,서울특별시 강서구 방화동,양천로,사망사고,1,0,2,0,차대차 - 측면충돌,과속,포장 - 건조,맑음,교차로 - 교차로안,승용,남,21세,경상,승용,남,76세,사망
2.01912E+15,2019년 12월 2일 17시,월요일,서울특별시 강서구 등촌동,강서로68길,경상사고,0,0,2,0,차대차 - 정면충돌,중앙선침범,포장 - 건조,기타,단일로 - 기타,승용,여,45세,상해없음,승용,남,75세,경상
2.01909E+15,2019년 9월 25일 18시,수요일,서울특별시 강서구 화곡동,곰달래로53길,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,35세,상해없음,보행자,여,75세,중상
2.0191E+15,2019년 10월 22일 11시,화요일,서울특별시 강서구 화곡동,곰달래로49길,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,여,75세,경상
2.01901E+15,2019년 1월 31일 12시,목요일,서울특별시 강서구 마곡동,마곡중앙5로,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,이륜,남,30세,상해없음,자전거,남,75세,경상
