사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.02E+15,2019년 5월 1일 21시,수요일,서울특별시 광진구 중곡동,긴고랑로,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,25세,상해없음,승용,남,65세,경상
2.02E+15,2019년 8월 12일 16시,월요일,서울특별시 광진구 중곡동,용마산로,부상신고사고,0,0,0,1,차대차 - 측면충돌,불법유턴,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,46세,상해없음,승용,남,65세,부상신고
2.02E+15,2019년 3월 7일 14시,목요일,서울특별시 광진구 능동,천호대로112길,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,35세,경상,승용,남,65세,기타불명
2.02E+15,2019년 10월 13일 16시,일요일,서울특별시 광진구 구의동,영화사로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,보행자,남,65세,경상
2.02E+15,2019년 4월 30일 07시,화요일,서울특별시 광진구 구의동,강변북로,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,57세,상해없음,화물,남,65세,중상
2.02E+15,2019년 9월 6일 12시,금요일,서울특별시 광진구 구의동,강변역로,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,65세,상해없음,승용,남,65세,경상
2.02E+15,2019년 5월 16일 10시,목요일,서울특별시 광진구 구의동,강변북로,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,남,65세,상해없음
2.02E+15,2019년 4월 26일 04시,금요일,서울특별시 광진구 자양동,강변북로,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,56세,상해없음,승용,남,65세,중상
2.02E+15,2019년 8월 12일 22시,월요일,서울특별시 광진구 자양동,자양로13길,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,18세,상해없음,보행자,여,65세,중상
2.02E+15,2019년 9월 23일 06시,월요일,서울특별시 광진구 자양동,동일로,중상사고,0,3,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,34세,상해없음,승용,여,65세,중상
2.02E+15,2019년 8월 3일 01시,토요일,서울특별시 광진구 화양동,아차산로,경상사고,0,0,2,0,차대차 - 후진중충돌,불법유턴,포장 - 건조,맑음,교차로 - 교차로안,승용,남,59세,상해없음,승용,남,65세,경상
2.02E+15,2019년 5월 31일 16시,금요일,서울특별시 광진구 중곡동,동일로,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,53세,상해없음,승용,남,66세,중상
2.02E+15,2019년 5월 28일 23시,화요일,서울특별시 광진구 구의동,광나루로,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 기타,승용,남,72세,상해없음,승용,여,66세,경상
2.02E+15,2019년 12월 18일 23시,수요일,서울특별시 광진구 광장동,구천면로,중상사고,0,3,1,0,차대차 - 정면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 교량,승용,남,31세,상해없음,승용,남,66세,중상
2.02E+15,2019년 11월 29일 10시,금요일,서울특별시 광진구 광장동,아차산로,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승합,남,52세,상해없음,승용,여,66세,중상
2.02E+15,2019년 3월 7일 08시,목요일,서울특별시 광진구 자양동,동일로,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 고가도로위,승용,남,28세,상해없음,승용,남,66세,경상
2.02E+15,2019년 1월 28일 14시,월요일,서울특별시 광진구 자양동,동일로,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,65세,상해없음,승용,남,66세,경상
