사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.01909E+15,2019년 9월 5일 11시,목요일,서울특별시 노원구 상계동,덕릉로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,33세,상해없음,보행자,여,90세 이상,중상
2.0191E+15,2019년 10월 4일 11시,금요일,서울특별시 노원구 중계동,노원로19길,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,64세,상해없음,보행자,여,88세,중상
2.01905E+15,2019년 5월 29일 08시,수요일,서울특별시 노원구 중계동,한글비석로20길,중상사고,0,1,0,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,71세,상해없음,자전거,남,86세,중상
2.0191E+15,2019년 10월 8일 15시,화요일,서울특별시 노원구 월계동,초안산로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,38세,상해없음,보행자,남,85세,중상
2.01902E+15,2019년 2월 9일 18시,토요일,서울특별시 노원구 상계동,덕릉로115다길,중상사고,0,1,0,0,차대사람 - 횡단중,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,남,38세,상해없음,보행자,남,85세,중상
2.0191E+15,2019년 10월 31일 16시,목요일,서울특별시 노원구 중계동,동일로210길,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,63세,상해없음,보행자,여,85세,중상
2.01912E+15,2019년 12월 8일 12시,일요일,서울특별시 노원구 중계동,섬밭로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,46세,상해없음,보행자,남,85세,중상
2.01908E+15,2019년 8월 22일 17시,목요일,서울특별시 노원구 공릉동,동일로,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,70세,상해없음,자전거,남,84세,부상신고
2.01912E+15,2019년 12월 13일 11시,금요일,서울특별시 노원구 하계동,노원로16길,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,48세,상해없음,보행자,여,84세,중상
2.01908E+15,2019년 8월 2일 21시,금요일,서울특별시 노원구 상계동,덕릉로,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,67세,상해없음,보행자,여,84세,경상
2.01912E+15,2019년 12월 17일 06시,화요일,서울특별시 노원구 하계동,한글비석로,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,55세,상해없음,이륜,남,83세,중상
2.01909E+15,2019년 9월 2일 09시,월요일,서울특별시 노원구 하계동,섬밭로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,38세,상해없음,보행자,남,83세,중상
2.01911E+15,2019년 11월 28일 16시,목요일,서울특별시 노원구 상계동,수락산로,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,54세,상해없음,보행자,여,83세,중상
2.01907E+15,2019년 7월 3일 09시,수요일,서울특별시 노원구 상계동,동일로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,44세,상해없음,보행자,남,83세,중상
2.01906E+15,2019년 6월 7일 15시,금요일,서울특별시 노원구 월계동,우이천로,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,49세,상해없음,보행자,남,82세,경상
2.0191E+15,2019년 10월 18일 08시,금요일,서울특별시 노원구 월계동,월계로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,28세,상해없음,보행자,남,81세,중상
2.01908E+15,2019년 8월 19일 18시,월요일,서울특별시 노원구 상계동,동일로,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승합,남,73세,상해없음,보행자,여,81세,경상
2.01904E+15,2019년 4월 29일 18시,월요일,서울특별시 노원구 상계동,노원로26가길,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,41세,상해없음,자전거,남,81세,경상
2.01909E+15,2019년 9월 24일 16시,화요일,서울특별시 노원구 중계동,동일로203가길,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,38세,상해없음,자전거,남,81세,중상
