사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.02E+15,2019년 9월 16일 12시,월요일,서울특별시 동대문구 전농동,서울시립대로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,57세,상해없음,보행자,여,90세 이상,경상
2.02E+15,2019년 8월 28일 00시,수요일,서울특별시 동대문구 휘경동,망우로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,74세,상해없음,보행자,여,90세 이상,중상
2.02E+15,2019년 7월 5일 12시,금요일,서울특별시 동대문구 제기동,고산자로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,55세,상해없음,보행자,남,87세,중상
2.02E+15,2019년 10월 27일 16시,일요일,서울특별시 동대문구 제기동,고산자로56길,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,자전거,남,47세,상해없음,보행자,남,87세,경상
2.02E+15,2019년 4월 15일 16시,월요일,서울특별시 동대문구 제기동,경동시장로,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,67세,상해없음,보행자,여,87세,중상
2.02E+15,2019년 8월 23일 10시,금요일,서울특별시 동대문구 답십리동,사가정로4길,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,56세,상해없음,보행자,여,87세,중상
2.02E+15,2019년 12월 9일 10시,월요일,서울특별시 동대문구 제기동,제기로,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,31세,상해없음,보행자,남,86세,중상
2.02E+15,2019년 11월 1일 16시,금요일,서울특별시 동대문구 제기동,고산자로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,52세,상해없음,보행자,여,86세,중상
2.02E+15,2019년 11월 24일 11시,일요일,서울특별시 동대문구 제기동,경동시장로2길,부상신고사고,0,0,0,1,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,58세,부상신고,승용,남,85세,상해없음
2.02E+15,2019년 3월 25일 09시,월요일,서울특별시 동대문구 전농동,왕산로,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,포장 - 건조,맑음,단일로 - 기타,승용,여,46세,상해없음,보행자,남,85세,경상
2.02E+15,2019년 4월 2일 19시,화요일,서울특별시 동대문구 청량리동,제기로,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,22세,상해없음,보행자,남,85세,중상
2.02E+15,2019년 7월 1일 16시,월요일,서울특별시 동대문구 용두동,청계천로,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,59세,상해없음,보행자,남,84세,경상
2.02E+15,2019년 12월 8일 17시,일요일,서울특별시 동대문구 답십리동,전농로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,63세,상해없음,보행자,여,84세,중상
2.02E+15,2019년 6월 13일 14시,목요일,서울특별시 동대문구 용두동,천호대로,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,79세,상해없음,보행자,남,83세,경상
2.02E+15,2019년 3월 13일 17시,수요일,서울특별시 동대문구 장안동,장안벚꽃로,중상사고,0,1,0,0,차대사람 - 기타,과속,포장 - 건조,맑음,단일로 - 기타,이륜,남,24세,상해없음,보행자,여,83세,중상
2.02E+15,2019년 7월 1일 04시,월요일,서울특별시 동대문구 이문동,이문로9길,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,53세,상해없음,보행자,여,83세,경상
2.02E+15,2019년 4월 6일 16시,토요일,서울특별시 동대문구 신설동,난계로,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,44세,상해없음,보행자,남,82세,부상신고
2.02E+15,2019년 11월 5일 17시,화요일,서울특별시 동대문구 용두동,천호대로,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,보행자,여,82세,부상신고
2.02E+15,2019년 2월 25일 04시,월요일,서울특별시 동대문구 제기동,고산자로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,보행자,남,82세,중상
2.02E+15,2019년 1월 8일 10시,화요일,서울특별시 동대문구 제기동,경동시장로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,64세,상해없음,보행자,여,82세,경상
2.02E+15,2019년 7월 2일 11시,화요일,서울특별시 동대문구 제기동,왕산로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,62세,상해없음,보행자,여,82세,중상
2.02E+15,2019년 5월 31일 14시,금요일,서울특별시 동대문구 제기동,고산자로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,51세,상해없음,보행자,여,82세,중상
2.02E+15,2019년 5월 16일 17시,목요일,서울특별시 동대문구 장안동,장한로18길,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승용,여,37세,상해없음,자전거,여,82세,경상
2.02E+15,2019년 8월 3일 18시,토요일,서울특별시 동대문구 회기동,이문로,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,37세,상해없음,보행자,남,82세,중상
2.02E+15,2019년 11월 12일 13시,화요일,서울특별시 동대문구 제기동,경동시장로,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,화물,남,65세,상해없음,보행자,여,81세,중상
2.02E+15,2019년 6월 13일 12시,목요일,서울특별시 동대문구 제기동,고산자로,부상신고사고,0,0,0,1,차대사람 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,55세,상해없음,보행자,여,81세,부상신고
2.02E+15,2019년 7월 25일 05시,목요일,서울특별시 동대문구 장안동,사가정로,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,52세,상해없음,보행자,여,81세,중상
2.02E+15,2019년 11월 19일 12시,화요일,서울특별시 동대문구 장안동,장한로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,63세,상해없음,보행자,여,81세,경상
2.02E+15,2019년 1월 6일 13시,일요일,서울특별시 동대문구 청량리동,회기로,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,77세,상해없음,이륜,남,81세,경상
2.02E+15,2019년 10월 15일 22시,화요일,서울특별시 동대문구 이문동,한천로,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,59세,상해없음,보행자,여,81세,중상
2.02E+15,2019년 1월 3일 14시,목요일,서울특별시 동대문구 답십리동,황물로,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,56세,상해없음,보행자,여,80세,중상
2.02E+15,2019년 12월 29일 10시,일요일,서울특별시 동대문구 장안동,사가정로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,27세,상해없음,보행자,여,80세,중상
2.02E+15,2019년 12월 10일 22시,화요일,서울특별시 동대문구 이문동,이문로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,86세,상해없음,보행자,여,80세,중상
2.02E+15,2019년 2월 10일 09시,일요일,서울특별시 동대문구 제기동,경동시장로,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,65세,상해없음,자전거,남,79세,중상
2.02E+15,2019년 3월 6일 21시,수요일,서울특별시 동대문구 제기동,고산자로,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,47세,상해없음,승용,남,79세,경상
2.02E+15,2019년 12월 10일 13시,화요일,서울특별시 동대문구 제기동,왕산로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,56세,상해없음,보행자,여,79세,중상
2.02E+15,2019년 8월 21일 17시,수요일,서울특별시 동대문구 장안동,장한로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,57세,상해없음,보행자,남,79세,경상
2.02E+15,2019년 11월 12일 19시,화요일,서울특별시 동대문구 전농동,서울시립대로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,36세,상해없음,보행자,여,78세,중상
2.02E+15,2019년 8월 6일 05시,화요일,서울특별시 동대문구 전농동,답십리로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,52세,상해없음,보행자,여,78세,중상
2.02E+15,2019년 4월 12일 19시,금요일,서울특별시 동대문구 답십리동,전농로,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,39세,기타불명,보행자,여,78세,경상
2.02E+15,2019년 3월 30일 13시,토요일,서울특별시 동대문구 답십리동,답십리로57길,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,49세,상해없음,보행자,여,78세,경상
2.02E+15,2019년 3월 11일 11시,월요일,서울특별시 동대문구 답십리동,황물로,중상사고,0,1,0,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,55세,상해없음,자전거,남,78세,중상
