사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.01902E+15,2019년 2월 20일 09시,수요일,서울특별시 마포구 도화동,새창로8길,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,71세,상해없음,보행자,여,90세 이상,중상
2.01905E+15,2019년 5월 8일 04시,수요일,서울특별시 마포구 마포동,마포대로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,61세,상해없음,보행자,남,90세 이상,중상
2.01905E+15,2019년 5월 27일 10시,월요일,서울특별시 마포구 노고산동,신촌로,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,포장 - 젖음/습기,비,단일로 - 기타,승용,남,53세,상해없음,보행자,여,90세 이상,중상
2.01907E+15,2019년 7월 24일 17시,수요일,서울특별시 마포구 성산동,모래내로7길,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,흐림,기타 - 기타,승용,여,37세,상해없음,보행자,여,90세 이상,중상
2.01907E+15,2019년 7월 1일 10시,월요일,서울특별시 마포구 성산동,성미산로,중상사고,0,1,0,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승합,남,44세,상해없음,보행자,여,87세,중상
2.01909E+15,2019년 9월 14일 19시,토요일,서울특별시 마포구 망원동,월드컵로25길,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 기타,기타,단일로 - 기타,승용,여,75세,상해없음,보행자,여,86세,경상
2.01902E+15,2019년 2월 8일 06시,금요일,서울특별시 마포구 아현동,만리재로,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,69세,상해없음,보행자,여,84세,사망
2.01905E+15,2019년 5월 14일 16시,화요일,서울특별시 마포구 대흥동,대흥로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,57세,상해없음,보행자,여,84세,중상
2.01905E+15,2019년 5월 22일 10시,수요일,서울특별시 마포구 노고산동,백범로,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,자전거,남,83세,중상
2.01907E+15,2019년 7월 29일 22시,월요일,서울특별시 마포구 망원동,포은로,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,28세,상해없음,보행자,여,83세,사망
2.01909E+15,2019년 9월 30일 06시,월요일,서울특별시 마포구 신수동,토정로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,원동기,남,58세,상해없음,보행자,남,82세,중상
2.01907E+15,2019년 7월 15일 10시,월요일,서울특별시 마포구 망원동,망원로,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,68세,상해없음,자전거,남,82세,경상
2.01903E+15,2019년 3월 10일 19시,일요일,서울특별시 마포구 공덕동,마포대로,부상신고사고,0,0,0,1,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,18세,부상신고,승용,남,81세,상해없음
2.01912E+15,2019년 12월 2일 05시,월요일,서울특별시 마포구 도화동,마포대로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 젖음/습기,흐림,단일로 - 기타,화물,남,69세,상해없음,보행자,여,81세,중상
2.0191E+15,2019년 10월 18일 20시,금요일,서울특별시 마포구 성산동,월드컵로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,31세,상해없음,보행자,여,81세,중상
2.01907E+15,2019년 7월 19일 15시,금요일,서울특별시 마포구 도화동,삼개로,중상사고,0,1,1,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,37세,상해없음,보행자,여,80세,중상
2.01907E+15,2019년 7월 16일 12시,화요일,서울특별시 마포구 대흥동,숭문길,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,26세,상해없음,보행자,남,80세,중상
2.01909E+15,2019년 9월 2일 10시,월요일,서울특별시 마포구 창전동,토정로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,보행자,여,79세,중상
2.01912E+15,2019년 12월 11일 19시,수요일,서울특별시 마포구 망원동,방울내로11길,중상사고,0,2,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,남,79세,중상
2.01904E+15,2019년 4월 17일 09시,수요일,서울특별시 마포구 아현동,마포대로,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,50세,상해없음,승합,남,78세,경상
2.01908E+15,2019년 8월 20일 07시,화요일,서울특별시 마포구 아현동,손기정로,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,36세,상해없음,보행자,남,78세,중상
2.01902E+15,2019년 2월 19일 14시,화요일,서울특별시 마포구 공덕동,마포대로14길,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,55세,상해없음,승용,남,78세,상해없음
