사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.02E+15,2019년 8월 24일 15시,토요일,서울특별시 성동구 행당동,고산자로,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승합,남,45세,상해없음,보행자,남,90세 이상,경상
2.02E+15,2019년 2월 13일 09시,수요일,서울특별시 성동구 성수동1가,왕십리로,중상사고,0,1,0,0,차대사람 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,여,46세,상해없음,보행자,여,89세,중상
2.02E+15,2019년 7월 2일 16시,화요일,서울특별시 성동구 마장동,고산자로,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,54세,상해없음,보행자,남,88세,경상
2.02E+15,2019년 4월 5일 06시,금요일,서울특별시 성동구 성수동1가,왕십리로,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,자전거,남,86세,경상
2.02E+15,2019년 4월 1일 12시,월요일,서울특별시 성동구 하왕십리동,무학로,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,67세,상해없음,보행자,여,85세,중상
2.02E+15,2019년 12월 23일 11시,월요일,서울특별시 성동구 응봉동,독서당로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,37세,상해없음,보행자,여,85세,중상
2.02E+15,2019년 12월 17일 11시,화요일,서울특별시 성동구 성수동2가,성수이로7길,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,58세,상해없음,보행자,여,85세,중상
2.02E+15,2019년 12월 3일 18시,화요일,서울특별시 성동구 응봉동,독서당로,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,61세,상해없음,보행자,여,84세,중상
2.02E+15,2019년 10월 21일 08시,월요일,서울특별시 성동구 홍익동,무학로,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,54세,상해없음,보행자,여,82세,경상
2.02E+15,2019년 5월 1일 16시,수요일,서울특별시 성동구 상왕십리동,마장로19길,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,46세,상해없음,보행자,여,81세,중상
2.02E+15,2019년 9월 27일 12시,금요일,서울특별시 성동구 하왕십리동,마장로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,55세,상해없음,보행자,여,81세,중상
2.02E+15,2019년 9월 30일 10시,월요일,서울특별시 성동구 성수동2가,성수이로,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,56세,상해없음,보행자,여,81세,중상
2.02E+15,2019년 8월 2일 10시,금요일,서울특별시 성동구 행당동,왕십리광장로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,맑음,단일로 - 기타,승용,남,45세,상해없음,보행자,남,80세,중상
2.02E+15,2019년 5월 1일 13시,수요일,서울특별시 성동구 마장동,살곶이길,사망사고,1,0,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,61세,상해없음,보행자,남,79세,사망
2.02E+15,2019년 1월 17일 22시,목요일,서울특별시 성동구 금호동4가,장터길,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,41세,상해없음,보행자,남,79세,부상신고
2.02E+15,2019년 11월 4일 14시,월요일,서울특별시 성동구 옥수동,동호로,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,70세,상해없음,보행자,여,79세,중상
