사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.02E+15,2019년 2월 27일 10시,수요일,서울특별시 양천구 신정동,오목로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,65세,상해없음,보행자,남,90세 이상,중상
2.02E+15,2019년 10월 27일 05시,일요일,서울특별시 양천구 신정동,목동서로,경상사고,0,0,1,0,차대사람 - 보도통행중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,68세,상해없음,보행자,남,89세,경상
2.02E+15,2019년 9월 8일 14시,일요일,서울특별시 양천구 신정동,신월로,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,55세,상해없음,승용,여,86세,중상
2.02E+15,2019년 6월 5일 12시,수요일,서울특별시 양천구 목동,오목로,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,22세,상해없음,승용,남,86세,경상
2.02E+15,2019년 3월 28일 11시,목요일,서울특별시 양천구 신월동,가로공원로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,57세,상해없음,보행자,남,84세,중상
2.02E+15,2019년 7월 21일 01시,일요일,서울특별시 양천구 신월동,신월로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,61세,상해없음,보행자,남,84세,중상
2.02E+15,2019년 8월 12일 11시,월요일,서울특별시 양천구 신정동,목동남로,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 젖음/습기,비,교차로 - 교차로부근,승합,남,66세,상해없음,자전거,남,83세,경상
2.02E+15,2019년 6월 18일 10시,화요일,서울특별시 양천구 신정동,목동동로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,43세,상해없음,보행자,여,83세,중상
2.02E+15,2019년 6월 6일 11시,목요일,서울특별시 양천구 목동,목동중앙본로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,48세,상해없음,보행자,여,83세,중상
2.02E+15,2019년 4월 20일 13시,토요일,서울특별시 양천구 목동,목동중앙북로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,43세,상해없음,보행자,여,82세,경상
2.02E+15,2019년 1월 23일 15시,수요일,서울특별시 양천구 목동,목동중앙북로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,77세,상해없음,보행자,여,82세,경상
2.02E+15,2019년 6월 21일 11시,금요일,서울특별시 양천구 신월동,중앙로,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,포장 - 기타,맑음,단일로 - 기타,화물,남,45세,상해없음,보행자,여,82세,경상
