사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.02E+15,2019년 12월 11일 15시,수요일,서울특별시 영등포구 여의도동,의사당대로,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,70세,부상신고,승용,남,90세 이상,상해없음
2.02E+15,2019년 2월 2일 15시,토요일,서울특별시 영등포구 문래동3가,문래로,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,77세,상해없음,기타불명,여,90세 이상,중상
2.02E+15,2019년 2월 26일 10시,화요일,서울특별시 영등포구 문래동6가,문래로,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,46세,상해없음,보행자,남,90세 이상,경상
2.02E+15,2019년 10월 10일 09시,목요일,서울특별시 영등포구 신길동,신길로42가길,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,30세,상해없음,보행자,여,88세,중상
2.02E+15,2019년 3월 25일 13시,월요일,서울특별시 영등포구 도림동,도영로,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,63세,상해없음,보행자,여,86세,경상
2.02E+15,2019년 1월 15일 06시,화요일,서울특별시 영등포구 양평동1가,양산로,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,62세,상해없음,보행자,여,86세,경상
2.02E+15,2019년 7월 25일 12시,목요일,서울특별시 영등포구 영등포동7가,국회대로,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,64세,상해없음,자전거,남,84세,경상
2.02E+15,2019년 4월 24일 08시,수요일,서울특별시 영등포구 여의도동,은행로,중상사고,0,1,0,0,차대사람 - 보도통행중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,66세,상해없음,보행자,남,84세,중상
2.02E+15,2019년 7월 7일 20시,일요일,서울특별시 영등포구 대림동,대림로,중상사고,0,2,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,51세,상해없음,보행자,여,84세,중상
2.02E+15,2019년 4월 27일 18시,토요일,서울특별시 영등포구 여의도동,여의나루로,중상사고,0,1,0,0,차대사람 - 보도통행중,중앙선침범,포장 - 건조,맑음,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,보행자,여,83세,중상
2.02E+15,2019년 4월 4일 08시,목요일,서울특별시 영등포구 영등포동1가,버드나루로,중상사고,0,1,0,0,차대사람 - 보도통행중,신호위반,포장 - 건조,맑음,단일로 - 기타,승합,남,70세,상해없음,보행자,여,82세,중상
2.02E+15,2019년 10월 25일 09시,금요일,서울특별시 영등포구 영등포동6가,영신로,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,건설기계,남,57세,상해없음,보행자,남,82세,경상
2.02E+15,2019년 9월 2일 08시,월요일,서울특별시 영등포구 당산동4가,당산로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,59세,기타불명,보행자,남,82세,경상
2.02E+15,2019년 12월 19일 15시,목요일,서울특별시 영등포구 신길동,대방천로,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,이륜,남,82세,경상
2.02E+15,2019년 2월 15일 09시,금요일,서울특별시 영등포구 신길동,영등포로86길,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 젖음/습기,눈,단일로 - 기타,승용,남,26세,상해없음,보행자,여,82세,중상
2.02E+15,2019년 9월 25일 15시,수요일,서울특별시 영등포구 영등포동3가,영등포로,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 기타,이륜,남,31세,상해없음,보행자,여,81세,중상
2.02E+15,2019년 11월 14일 13시,목요일,서울특별시 영등포구 문래동6가,선유서로,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,26세,상해없음,보행자,여,81세,경상
2.02E+15,2019년 11월 22일 10시,금요일,서울특별시 영등포구 양평동4가,양평로17길,부상신고사고,0,0,0,1,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,64세,상해없음,보행자,여,81세,부상신고
2.02E+15,2019년 7월 31일 11시,수요일,서울특별시 영등포구 신길동,신풍로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로안,승용,여,42세,상해없음,보행자,남,81세,중상
2.02E+15,2019년 1월 22일 06시,화요일,서울특별시 영등포구 신길동,신길로,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,여,81세,중상
2.02E+15,2019년 10월 29일 09시,화요일,서울특별시 영등포구 신길동,신풍로,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,54세,상해없음,보행자,남,81세,중상
2.02E+15,2019년 9월 2일 13시,월요일,서울특별시 영등포구 여의도동,63로,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,25세,경상,승용,여,80세,상해없음
2.02E+15,2019년 5월 29일 12시,수요일,서울특별시 영등포구 도림동,도신로,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,26세,상해없음,이륜,남,80세,중상
