사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.02E+15,2019년 12월 31일 09시,화요일,서울특별시 강동구 성내동,천호대로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,남,90세 이상,중상
2.02E+15,2019년 3월 14일 09시,목요일,서울특별시 강동구 천호동,구천면로,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,포장 - 건조,맑음,기타 - 기타,승용,여,37세,상해없음,보행자,여,90세 이상,경상
2.02E+15,2019년 7월 4일 18시,목요일,서울특별시 강동구 성내동,양재대로,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,기타 - 기타,자전거,남,71세,상해없음,보행자,여,86세,경상
2.02E+15,2019년 6월 7일 15시,금요일,서울특별시 강동구 천호동,구천면로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,62세,상해없음,보행자,여,86세,중상
2.02E+15,2019년 7월 24일 08시,수요일,서울특별시 강동구 천호동,구천면로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,60세,상해없음,보행자,여,86세,경상
2.02E+15,2019년 10월 23일 16시,수요일,서울특별시 강동구 명일동,상암로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,56세,상해없음,보행자,여,85세,중상
2.02E+15,2019년 7월 23일 18시,화요일,서울특별시 강동구 고덕동,동남로81길,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승합,남,48세,상해없음,보행자,남,85세,경상
2.02E+15,2019년 5월 24일 09시,금요일,서울특별시 강동구 암사동,상암로,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,48세,상해없음,보행자,여,85세,경상
2.02E+15,2019년 12월 4일 08시,수요일,서울특별시 강동구 강일동,아리수로93길,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로안,승용,남,48세,상해없음,자전거,남,85세,경상
2.02E+15,2019년 5월 5일 15시,일요일,서울특별시 강동구 성내동,강동대로53길,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,44세,상해없음,보행자,여,84세,중상
2.02E+15,2019년 8월 14일 14시,수요일,서울특별시 강동구 성내동,강동대로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,24세,상해없음,보행자,여,83세,중상
2.02E+15,2019년 5월 10일 12시,금요일,서울특별시 강동구 천호동,천중로,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,50세,기타불명,보행자,여,82세,경상
2.02E+15,2019년 7월 31일 17시,수요일,서울특별시 강동구 천호동,구천면로,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,기타 - 기타,승합,남,63세,상해없음,보행자,남,82세,경상
2.02E+15,2019년 12월 9일 10시,월요일,서울특별시 강동구 명일동,양재대로,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승합,남,32세,상해없음,승용,남,81세,경상
