사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.01908E+15,2019년 8월 28일 11시,수요일,서울특별시 관악구 신림동,광신길,중상사고,0,2,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,65세,상해없음,보행자,여,90세 이상,중상
2.0191E+15,2019년 10월 24일 09시,목요일,서울특별시 관악구 신림동,난곡로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,주차장 - 주차장,승용,남,50세,상해없음,보행자,여,88세,중상
2.01904E+15,2019년 4월 17일 08시,수요일,서울특별시 관악구 봉천동,관악로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 기타,맑음,단일로 - 기타,승합,남,57세,상해없음,보행자,남,86세,경상
2.01911E+15,2019년 11월 9일 10시,토요일,서울특별시 관악구 봉천동,보라매로,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,건설기계,남,54세,상해없음,보행자,여,85세,사망
2.01912E+15,2019년 12월 30일 00시,월요일,서울특별시 관악구 봉천동,보라매로,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,74세,기타불명,보행자,남,84세,사망
2.0191E+15,2019년 10월 30일 18시,수요일,서울특별시 관악구 신림동,난곡로,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,58세,상해없음,보행자,남,84세,사망
2.01912E+15,2019년 12월 7일 04시,토요일,서울특별시 관악구 봉천동,쑥고개로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,65세,상해없음,보행자,여,83세,중상
2.01904E+15,2019년 4월 12일 14시,금요일,서울특별시 관악구 봉천동,관악로11길,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,70세,상해없음,보행자,여,83세,중상
2.01901E+15,2019년 1월 28일 05시,월요일,서울특별시 관악구 신림동,남부순환로,부상신고사고,0,0,0,2,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,맑음,단일로 - 기타,승용,여,36세,부상신고,승용,남,83세,상해없음
2.01901E+15,2019년 1월 17일 16시,목요일,서울특별시 관악구 봉천동,은천로,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,이륜,남,45세,상해없음,보행자,여,82세,중상
2.01905E+15,2019년 5월 10일 20시,금요일,서울특별시 관악구 봉천동,남부순환로,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,이륜,남,16세,상해없음,보행자,남,82세,중상
2.01912E+15,2019년 12월 3일 21시,화요일,서울특별시 관악구 신림동,봉천로,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,63세,상해없음,보행자,남,82세,사망
2.01901E+15,2019년 1월 24일 04시,목요일,서울특별시 관악구 봉천동,관악로,부상신고사고,0,0,0,1,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,52세,상해없음,보행자,여,81세,부상신고
2.01907E+15,2019년 7월 8일 13시,월요일,서울특별시 관악구 신림동,신원로,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승합,남,62세,상해없음,보행자,여,81세,경상
2.01909E+15,2019년 9월 20일 11시,금요일,서울특별시 관악구 신림동,시흥대로,중상사고,0,1,0,0,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,45세,상해없음,이륜,남,80세,중상
2.01905E+15,2019년 5월 19일 08시,일요일,서울특별시 관악구 신림동,남부순환로,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,75세,상해없음,보행자,여,80세,중상
2.01906E+15,2019년 6월 22일 21시,토요일,서울특별시 관악구 신림동,신원로,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,기타 - 기타,승용,남,45세,상해없음,보행자,여,80세,경상
2.01907E+15,2019년 7월 23일 13시,화요일,서울특별시 관악구 봉천동,남부순환로,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,36세,상해없음,승용,남,79세,상해없음
2.01911E+15,2019년 11월 3일 18시,일요일,서울특별시 관악구 봉천동,쑥고개로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,68세,상해없음,보행자,여,79세,중상
2.01907E+15,2019년 7월 7일 09시,일요일,서울특별시 관악구 봉천동,관악로,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,73세,상해없음,보행자,여,79세,중상
2.01906E+15,2019년 6월 23일 12시,일요일,서울특별시 관악구 신림동,원신길,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,39세,상해없음,이륜,남,79세,중상
2.01902E+15,2019년 2월 21일 18시,목요일,서울특별시 관악구 신림동,신림로,부상신고사고,0,0,0,1,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,57세,상해없음,보행자,여,79세,부상신고
2.01911E+15,2019년 11월 28일 10시,목요일,서울특별시 관악구 신림동,신림로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,특수,남,47세,상해없음,보행자,여,79세,중상
2.01906E+15,2019년 6월 23일 08시,일요일,서울특별시 관악구 봉천동,봉천로,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,60세,상해없음,자전거,남,78세,중상
2.01906E+15,2019년 6월 19일 11시,수요일,서울특별시 관악구 봉천동,남부순환로,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승합,남,55세,상해없음,보행자,여,78세,중상
2.01906E+15,2019년 6월 9일 07시,일요일,서울특별시 관악구 신림동,호암로,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,65세,상해없음,보행자,여,78세,경상
2.01902E+15,2019년 2월 11일 09시,월요일,서울특별시 관악구 신림동,난우길,중상사고,0,1,0,0,차대사람 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,31세,상해없음,보행자,여,78세,중상
2.01911E+15,2019년 11월 6일 21시,수요일,서울특별시 관악구 신림동,조원로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,64세,상해없음,보행자,여,78세,경상
2.01905E+15,2019년 5월 6일 14시,월요일,서울특별시 관악구 신림동,난우길,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,66세,상해없음,보행자,남,78세,경상
