사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.01909E+15,2019년 9월 11일 09시,수요일,서울특별시 구로구 개봉동,개봉로20길,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,52세,상해없음,보행자,여,89세,중상
2.01909E+15,2019년 9월 16일 14시,월요일,서울특별시 구로구 구로동,새말로12길,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,52세,상해없음,보행자,남,88세,중상
2.01903E+15,2019년 3월 8일 10시,금요일,서울특별시 구로구 고척동,중앙로,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,66세,상해없음,보행자,여,88세,경상
2.01911E+15,2019년 11월 18일 19시,월요일,서울특별시 구로구 구로동,도림로,중상사고,0,1,0,0,차대사람 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,49세,상해없음,보행자,남,87세,중상
2.01906E+15,2019년 6월 12일 21시,수요일,서울특별시 구로구 궁동,오리로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,주차장 - 주차장,승용,남,55세,상해없음,보행자,여,87세,경상
2.01904E+15,2019년 4월 12일 13시,금요일,서울특별시 구로구 가리봉동,디지털로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,건설기계,남,55세,상해없음,보행자,남,85세,경상
2.0191E+15,2019년 10월 16일 16시,수요일,서울특별시 구로구 궁동,부일로,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,60세,상해없음,보행자,남,84세,경상
2.01912E+15,2019년 12월 20일 16시,금요일,서울특별시 구로구 구로동,경인로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,57세,상해없음,보행자,여,83세,중상
2.01901E+15,2019년 1월 26일 07시,토요일,서울특별시 구로구 구로동,도림로,중상사고,0,1,0,0,차대사람 - 보도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,45세,상해없음,보행자,여,82세,중상
2.0191E+15,2019년 10월 18일 13시,금요일,서울특별시 구로구 구로동,구일로4길,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,29세,상해없음,보행자,여,82세,경상
2.01911E+15,2019년 11월 19일 04시,화요일,서울특별시 구로구 구로동,경인로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,40세,상해없음,보행자,남,82세,중상
2.01911E+15,2019년 11월 8일 05시,금요일,서울특별시 구로구 개봉동,개봉로20길,사망사고,1,0,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,화물,남,49세,상해없음,보행자,남,82세,사망
2.01903E+15,2019년 3월 17일 12시,일요일,서울특별시 구로구 신도림동,경인로67길,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,58세,상해없음,보행자,여,81세,중상
2.01904E+15,2019년 4월 5일 00시,금요일,서울특별시 구로구 구로동,도림천로,중상사고,0,1,3,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,26세,경상,승용,남,81세,중상
2.01908E+15,2019년 8월 13일 13시,화요일,서울특별시 구로구 구로동,가마산로,사망사고,1,0,0,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,45세,상해없음,자전거,여,81세,사망
2.01905E+15,2019년 5월 2일 08시,목요일,서울특별시 구로구 신도림동,신도림로,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,38세,상해없음,승용,남,80세,경상
2.01906E+15,2019년 6월 11일 12시,화요일,서울특별시 구로구 구로동,시흥대로161길,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,19세,상해없음,보행자,여,79세,중상
2.01911E+15,2019년 11월 22일 11시,금요일,서울특별시 구로구 구로동,새말로20길,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,31세,상해없음,자전거,남,79세,경상
2.01904E+15,2019년 4월 4일 20시,목요일,서울특별시 구로구 구로동,구로중앙로,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,58세,상해없음,승용,남,79세,상해없음
2.01911E+15,2019년 11월 9일 10시,토요일,서울특별시 구로구 구로동,구로중앙로,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승합,남,55세,상해없음,보행자,남,79세,경상
2.01909E+15,2019년 9월 15일 18시,일요일,서울특별시 구로구 오류동,경인로,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,43세,상해없음,이륜,남,79세,중상
2.0191E+15,2019년 10월 3일 03시,목요일,서울특별시 구로구 신도림동,경인로67길,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 젖음/습기,비,교차로 - 교차로안,승용,남,54세,상해없음,화물,남,78세,경상
2.01908E+15,2019년 8월 11일 22시,일요일,서울특별시 구로구 구로동,도림로,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,비,교차로 - 교차로횡단보도내,승용,남,47세,기타불명,보행자,여,78세,경상
2.01912E+15,2019년 12월 28일 07시,토요일,서울특별시 구로구 구로동,구로중앙로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,44세,상해없음,보행자,여,78세,중상
2.01903E+15,2019년 3월 29일 20시,금요일,서울특별시 구로구 구로동,도림천로,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,30세,상해없음,승용,남,78세,경상
2.01905E+15,2019년 5월 26일 08시,일요일,서울특별시 구로구 구로동,구로중앙로34길,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,76세,상해없음,보행자,여,78세,중상
2.01906E+15,2019년 6월 26일 19시,수요일,서울특별시 구로구 고척동,중앙로15길,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,22세,상해없음,보행자,여,78세,중상
2.01911E+15,2019년 11월 6일 08시,수요일,서울특별시 구로구 개봉동,개봉로19길,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,39세,상해없음,보행자,여,78세,중상
2.01912E+15,2019년 12월 28일 16시,토요일,서울특별시 구로구 개봉동,개봉로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,주차장 - 주차장,승용,남,46세,상해없음,보행자,남,78세,경상
2.01911E+15,2019년 11월 27일 12시,수요일,서울특별시 구로구 오류동,서해안로,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,75세,상해없음,보행자,남,78세,경상
2.01903E+15,2019년 3월 18일 08시,월요일,서울특별시 구로구 오류동,오류로,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 기타,맑음,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,이륜,남,78세,경상
2.01905E+15,2019년 5월 18일 18시,토요일,서울특별시 구로구 궁동,부일로,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,44세,상해없음,자전거,남,78세,경상
2.01909E+15,2019년 9월 21일 22시,토요일,서울특별시 구로구 신도림동,경인로67길,경상사고,0,0,2,0,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,34세,기타불명,승용,남,77세,경상
2.01908E+15,2019년 8월 4일 16시,일요일,서울특별시 구로구 구로동,공원로8길,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,67세,상해없음,승용,남,77세,경상
2.01907E+15,2019년 7월 4일 15시,목요일,서울특별시 구로구 구로동,경인로,경상사고,0,0,2,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 기타,화물,남,55세,상해없음,승용,남,77세,경상
2.01912E+15,2019년 12월 20일 13시,금요일,서울특별시 구로구 가리봉동,남부순환로105길,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승합,남,58세,상해없음,화물,남,77세,경상
2.01906E+15,2019년 6월 13일 15시,목요일,서울특별시 구로구 고척동,경서로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,51세,상해없음,보행자,여,77세,중상
2.01903E+15,2019년 3월 7일 12시,목요일,서울특별시 구로구 구로동,구로동로28길,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,58세,상해없음,보행자,여,76세,경상
