사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.01901E+15,2019년 1월 19일 13시,토요일,서울특별시 금천구 시흥동,독산로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,51세,상해없음,보행자,남,87세,중상
2.01903E+15,2019년 3월 16일 11시,토요일,서울특별시 금천구 가산동,시흥대로153길,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,57세,상해없음,보행자,여,86세,경상
2.01911E+15,2019년 11월 21일 14시,목요일,서울특별시 금천구 독산동,서부샛길,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,승용,남,42세,상해없음,자전거,남,84세,중상
2.01901E+15,2019년 1월 14일 19시,월요일,서울특별시 금천구 시흥동,탑골로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,23세,상해없음,보행자,남,84세,중상
2.01904E+15,2019년 4월 30일 21시,화요일,서울특별시 금천구 가산동,가산로9길,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,64세,상해없음,보행자,여,83세,중상
2.01902E+15,2019년 2월 28일 20시,목요일,서울특별시 금천구 시흥동,금하로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,17세,상해없음,보행자,여,83세,중상
2.01907E+15,2019년 7월 26일 06시,금요일,서울특별시 금천구 시흥동,강남순환로,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,50세,상해없음,승용,여,83세,경상
2.0191E+15,2019년 10월 1일 10시,화요일,서울특별시 금천구 독산동,시흥대로,사망사고,1,0,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,43세,상해없음,보행자,여,81세,사망
2.01912E+15,2019년 12월 23일 06시,월요일,서울특별시 금천구 시흥동,금하로,중상사고,0,1,0,0,차대사람 - 보도통행중,보행자보호의무위반,포장 - 젖음/습기,흐림,교차로 - 교차로횡단보도내,승용,남,44세,상해없음,보행자,남,78세,중상
2.01905E+15,2019년 5월 23일 17시,목요일,서울특별시 금천구 시흥동,독산로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,40세,상해없음,보행자,여,78세,경상
2.01911E+15,2019년 11월 1일 14시,금요일,서울특별시 금천구 독산동,범안로16길,경상사고,0,0,2,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,57세,상해없음,보행자,여,77세,경상
2.0191E+15,2019년 10월 10일 13시,목요일,서울특별시 금천구 시흥동,시흥대로73길,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,28세,상해없음,보행자,여,77세,중상
2.01903E+15,2019년 3월 18일 04시,월요일,서울특별시 금천구 가산동,서부샛길,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,28세,상해없음,자전거,남,76세,중상
