사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.02E+15,2019년 9월 8일 12시,일요일,서울특별시 도봉구 창동,해등로16길,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,57세,상해없음,보행자,여,90세 이상,중상
2.02E+15,2019년 5월 21일 18시,화요일,서울특별시 도봉구 도봉동,도봉로180가길,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,21세,상해없음,자전거,남,88세,중상
2.02E+15,2019년 5월 2일 10시,목요일,서울특별시 도봉구 도봉동,도봉로154길,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,37세,상해없음,보행자,남,83세,중상
2.02E+15,2019년 4월 9일 12시,화요일,서울특별시 도봉구 쌍문동,도봉로,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,58세,상해없음,자전거,남,82세,중상
2.02E+15,2019년 11월 15일 17시,금요일,서울특별시 도봉구 창동,마들로11길,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,31세,상해없음,보행자,여,82세,중상
2.02E+15,2019년 6월 12일 13시,수요일,서울특별시 도봉구 쌍문동,도봉로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,56세,상해없음,보행자,남,81세,중상
2.02E+15,2019년 8월 7일 06시,수요일,서울특별시 도봉구 방학동,방학로,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 젖음/습기,비,교차로 - 교차로부근,승합,남,67세,상해없음,보행자,여,81세,중상
2.02E+15,2019년 8월 14일 13시,수요일,서울특별시 도봉구 창동,노해로63가길,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,65세,상해없음,보행자,여,81세,중상
2.02E+15,2019년 5월 22일 16시,수요일,서울특별시 도봉구 쌍문동,해등로,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,57세,상해없음,보행자,여,80세,경상
2.02E+15,2019년 2월 7일 15시,목요일,서울특별시 도봉구 방학동,도봉로150길,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,29세,상해없음,보행자,여,80세,중상
