사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.01911E+15,2019년 11월 26일 13시,화요일,서울특별시 동작구 상도동,상도로,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,화물,남,68세,상해없음,보행자,남,90세 이상,중상
2.01909E+15,2019년 9월 26일 15시,목요일,서울특별시 동작구 상도동,성대로2길,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,68세,상해없음,보행자,여,88세,중상
2.01901E+15,2019년 1월 18일 09시,금요일,서울특별시 동작구 상도동,성대로1길,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,41세,상해없음,보행자,남,87세,중상
2.01903E+15,2019년 3월 15일 09시,금요일,서울특별시 동작구 상도동,상도로15길,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,54세,상해없음,보행자,여,86세,중상
2.01902E+15,2019년 2월 23일 17시,토요일,서울특별시 동작구 상도동,상도로,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,포장 - 건조,맑음,단일로 - 기타,화물,남,45세,상해없음,보행자,남,86세,경상
2.01905E+15,2019년 5월 8일 13시,수요일,서울특별시 동작구 노량진동,만양로,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,31세,상해없음,보행자,남,85세,중상
2.01911E+15,2019년 11월 30일 11시,토요일,서울특별시 동작구 사당동,사당로17길,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,54세,상해없음,보행자,남,85세,경상
2.01911E+15,2019년 11월 14일 18시,목요일,서울특별시 동작구 노량진동,장승배기로,부상신고사고,0,0,0,1,차대차 - 추돌,신호위반,포장 - 건조,맑음,단일로 - 기타,이륜,남,16세,부상신고,승용,남,83세,상해없음
2.01901E+15,2019년 1월 24일 19시,목요일,서울특별시 동작구 노량진동,장승배기로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,이륜,남,71세,상해없음,보행자,남,83세,중상
2.01911E+15,2019년 11월 18일 09시,월요일,서울특별시 동작구 흑석동,서달로,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,77세,상해없음,이륜,남,82세,중상
2.01903E+15,2019년 3월 6일 02시,수요일,서울특별시 동작구 사당동,동작대로29길,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,62세,상해없음,보행자,여,82세,중상
2.01901E+15,2019년 1월 29일 12시,화요일,서울특별시 동작구 대방동,등용로14길,경상사고,0,0,2,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,21세,경상,보행자,남,82세,경상
2.01905E+15,2019년 5월 11일 11시,토요일,서울특별시 동작구 노량진동,노량진로8길,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,81세,상해없음,자전거,남,81세,중상
2.01912E+15,2019년 12월 20일 11시,금요일,서울특별시 동작구 사당동,사당로23나길,부상신고사고,0,0,0,1,차대사람 - 기타,기타,포장 - 건조,맑음,기타 - 기타,승용,여,37세,상해없음,보행자,남,81세,부상신고
2.01904E+15,2019년 4월 26일 09시,금요일,서울특별시 동작구 신대방동,보라매로5길,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,82세,상해없음,보행자,여,81세,중상
2.01909E+15,2019년 9월 20일 04시,금요일,서울특별시 동작구 노량진동,장승배기로,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 기타,이륜,남,35세,상해없음,보행자,여,80세,중상
