사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.02E+15,2019년 12월 13일 19시,금요일,서울특별시 서대문구 창천동,연세로5길,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,36세,상해없음,보행자,여,90세 이상,중상
2.02E+15,2019년 11월 2일 11시,토요일,서울특별시 서대문구 홍제동,세검정로,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,26세,상해없음,보행자,여,88세,사망
2.02E+15,2019년 7월 18일 04시,목요일,서울특별시 서대문구 북가좌동,불광천길,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,자전거,남,78세,상해없음,보행자,남,86세,경상
2.02E+15,2019년 8월 7일 10시,수요일,서울특별시 서대문구 홍제동,세검정로4길,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,56세,상해없음,보행자,남,84세,중상
2.02E+15,2019년 10월 25일 11시,금요일,서울특별시 서대문구 연희동,성산로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,62세,상해없음,보행자,여,84세,중상
2.02E+15,2019년 2월 7일 12시,목요일,서울특별시 서대문구 홍은동,연희로,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,화물,남,64세,상해없음,보행자,남,84세,중상
2.02E+15,2019년 1월 14일 04시,월요일,서울특별시 서대문구 홍제동,통일로,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,50세,상해없음,보행자,여,83세,중상
2.02E+15,2019년 8월 9일 13시,금요일,서울특별시 서대문구 신촌동,성산로24길,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,화물,남,59세,상해없음,보행자,여,82세,사망
2.02E+15,2019년 2월 17일 15시,일요일,서울특별시 서대문구 연희동,연희로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,25세,상해없음,보행자,남,82세,중상
2.02E+15,2019년 7월 29일 17시,월요일,서울특별시 서대문구 연희동,연희로,부상신고사고,0,0,0,1,차대사람 - 차도통행중,기타,포장 - 건조,맑음,단일로 - 기타,화물,남,50세,상해없음,보행자,여,82세,부상신고
2.02E+15,2019년 6월 12일 08시,수요일,서울특별시 서대문구 홍은동,세검정로,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,건설기계,남,53세,상해없음,보행자,여,82세,사망
2.02E+15,2019년 9월 3일 07시,화요일,서울특별시 서대문구 홍은동,통일로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,55세,상해없음,보행자,여,82세,중상
2.02E+15,2019년 2월 14일 19시,목요일,서울특별시 서대문구 북가좌동,응암로,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,22세,상해없음,보행자,남,82세,경상
2.02E+15,2019년 7월 26일 14시,금요일,서울특별시 서대문구 신촌동,성산로,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 젖음/습기,비,단일로 - 기타,승용,남,65세,상해없음,승용,남,81세,상해없음
2.02E+15,2019년 1월 30일 06시,수요일,서울특별시 서대문구 홍은동,가좌로,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,63세,경상,승용,남,81세,상해없음
2.02E+15,2019년 5월 2일 14시,목요일,서울특별시 서대문구 홍은동,연희로,사망사고,1,0,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,38세,상해없음,이륜,남,81세,사망
2.02E+15,2019년 5월 16일 15시,목요일,서울특별시 서대문구 홍은동,홍은중앙로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,58세,상해없음,보행자,남,81세,중상
2.02E+15,2019년 12월 23일 15시,월요일,서울특별시 서대문구 홍은동,가좌로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,50세,상해없음,보행자,여,81세,경상
2.02E+15,2019년 6월 22일 11시,토요일,서울특별시 서대문구 북가좌동,증가로20가길,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,42세,상해없음,보행자,여,81세,중상
2.02E+15,2019년 11월 2일 14시,토요일,서울특별시 서대문구 연희동,모래내로,중상사고,0,1,0,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,42세,상해없음,보행자,여,80세,중상
2.02E+15,2019년 5월 6일 10시,월요일,서울특별시 서대문구 홍은동,홍은중앙로,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,건설기계,남,56세,상해없음,보행자,여,80세,중상
2.02E+15,2019년 1월 31일 19시,목요일,서울특별시 서대문구 남가좌동,증가로12나길,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,33세,상해없음,보행자,남,80세,경상
2.02E+15,2019년 9월 9일 05시,월요일,서울특별시 서대문구 영천동,통일로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,64세,상해없음,보행자,여,79세,중상
2.02E+15,2019년 2월 18일 07시,월요일,서울특별시 서대문구 북아현동,서소문로,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,50세,상해없음,승용,여,79세,중상
2.02E+15,2019년 10월 26일 07시,토요일,서울특별시 서대문구 홍제동,통일로,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,63세,상해없음,보행자,남,79세,사망
