사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.01911E+15,2019년 11월 1일 16시,금요일,서울특별시 서초구 양재동,강남대로,중상사고,0,1,0,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,53세,상해없음,자전거,남,81세,중상
2.01904E+15,2019년 4월 24일 13시,수요일,서울특별시 서초구 서초동,사평대로,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승합,남,39세,상해없음,자전거,남,80세,중상
2.01906E+15,2019년 6월 1일 09시,토요일,서울특별시 서초구 서초동,남부순환로339길,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,52세,기타불명,승용,남,80세,경상
2.01907E+15,2019년 7월 29일 19시,월요일,서울특별시 서초구 방배동,동작대로,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 지하차도(도로)내,승합,남,59세,상해없음,승용,남,79세,경상
2.01904E+15,2019년 4월 19일 20시,금요일,서울특별시 서초구 양재동,매헌로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,47세,상해없음,보행자,여,79세,경상
2.01901E+15,2019년 1월 21일 07시,월요일,서울특별시 서초구 잠원동,강남대로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,52세,상해없음,보행자,여,79세,중상
2.01909E+15,2019년 9월 18일 05시,수요일,서울특별시 서초구 서초동,효령로,중상사고,0,1,0,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,기타 - 기타,승용,남,65세,상해없음,승용,남,79세,중상
2.01902E+15,2019년 2월 17일 12시,일요일,서울특별시 서초구 서초동,서초대로38길,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,36세,상해없음,보행자,여,79세,경상
2.01911E+15,2019년 11월 2일 15시,토요일,서울특별시 서초구 방배동,남부순환로,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,40세,상해없음,보행자,남,78세,중상
2.01901E+15,2019년 1월 28일 07시,월요일,서울특별시 서초구 방배동,방배천로,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,44세,상해없음,승용,남,77세,경상
