사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.01901E+15,2019년 1월 3일 16시,목요일,서울특별시 송파구 석촌동,가락로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,52세,상해없음,보행자,여,87세,중상
2.0191E+15,2019년 10월 22일 14시,화요일,서울특별시 송파구 문정동,문정로4길,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,28세,상해없음,보행자,남,87세,경상
2.01909E+15,2019년 9월 9일 19시,월요일,서울특별시 송파구 가락동,동남로18길,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,35세,상해없음,보행자,남,86세,중상
2.01905E+15,2019년 5월 31일 10시,금요일,서울특별시 송파구 문정동,동남로4길,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,49세,상해없음,보행자,여,86세,중상
2.01906E+15,2019년 6월 27일 11시,목요일,서울특별시 송파구 오금동,중대로,중상사고,0,1,0,0,차대사람 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,57세,상해없음,보행자,남,86세,중상
2.01901E+15,2019년 1월 21일 13시,월요일,서울특별시 송파구 잠실동,백제고분로7길,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,38세,상해없음,보행자,여,85세,경상
2.01908E+15,2019년 8월 8일 11시,목요일,서울특별시 송파구 장지동,충민로,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,70세,상해없음,보행자,여,84세,경상
2.0191E+15,2019년 10월 18일 06시,금요일,서울특별시 송파구 거여동,양산로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,64세,상해없음,보행자,남,84세,중상
2.01902E+15,2019년 2월 23일 09시,토요일,서울특별시 송파구 마천동,마천로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,44세,상해없음,보행자,여,84세,중상
2.01912E+15,2019년 12월 23일 13시,월요일,서울특별시 송파구 송파동,백제고분로42길,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,44세,상해없음,보행자,여,82세,중상
