사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.02E+15,2019년 1월 29일 12시,화요일,서울특별시 용산구 용문동,효창원로,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,54세,상해없음,보행자,여,90세 이상,경상
2.02E+15,2019년 4월 10일 10시,수요일,서울특별시 용산구 이촌동,이촌로75길,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,비,교차로 - 교차로안,승용,여,32세,상해없음,보행자,여,83세,경상
2.02E+15,2019년 2월 26일 13시,화요일,서울특별시 용산구 청파동2가,청파로47길,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,30세,상해없음,보행자,여,82세,중상
2.02E+15,2019년 2월 4일 20시,월요일,서울특별시 용산구 원효로1가,원효로,중상사고,0,1,0,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 지하차도(도로)내,승용,남,63세,상해없음,보행자,여,82세,중상
2.02E+15,2019년 6월 19일 17시,수요일,서울특별시 용산구 이태원동,소월로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,57세,상해없음,보행자,남,82세,중상
2.02E+15,2019년 6월 22일 20시,토요일,서울특별시 용산구 갈월동,한강대로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,보행자,남,81세,경상
2.02E+15,2019년 10월 9일 04시,수요일,서울특별시 용산구 용산동5가,서빙고로,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,64세,상해없음,보행자,여,80세,중상
2.02E+15,2019년 9월 24일 15시,화요일,서울특별시 용산구 한남동,대사관로,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,47세,상해없음,보행자,남,80세,경상
2.02E+15,2019년 10월 18일 16시,금요일,서울특별시 용산구 이태원동,녹사평대로26길,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,54세,상해없음,승용,남,79세,경상
2.02E+15,2019년 5월 26일 20시,일요일,서울특별시 용산구 이촌동,이촌로,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승용,남,77세,경상
2.02E+15,2019년 1월 26일 13시,토요일,서울특별시 용산구 원효로4가,강변북로,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 지하차도(도로)내,승용,남,53세,상해없음,승용,남,76세,상해없음
2.02E+15,2019년 4월 25일 12시,목요일,서울특별시 용산구 한강로2가,한강대로,중상사고,0,2,1,0,차대차 - 기타,안전거리미확보,포장 - 젖음/습기,비,단일로 - 기타,승용,남,70세,상해없음,승용,남,76세,중상
2.02E+15,2019년 10월 31일 10시,목요일,서울특별시 용산구 용산동4가,녹사평대로,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승합,남,50세,상해없음,승용,남,75세,중상
2.02E+15,2019년 3월 8일 19시,금요일,서울특별시 용산구 한강로2가,한강대로21길,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,49세,상해없음,승용,남,75세,경상
2.02E+15,2019년 8월 31일 20시,토요일,서울특별시 용산구 이태원동,보광로,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,25세,상해없음,승용,남,75세,경상
2.02E+15,2019년 11월 18일 15시,월요일,서울특별시 용산구 한남동,독서당로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,50세,상해없음,보행자,여,75세,중상
2.02E+15,2019년 3월 13일 09시,수요일,서울특별시 용산구 한남동,독서당로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,55세,상해없음,보행자,여,75세,중상
2.02E+15,2019년 5월 22일 09시,수요일,서울특별시 용산구 서빙고동,서빙고로,중상사고,0,1,0,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 지하차도(도로)내,승용,남,56세,상해없음,승용,남,75세,상해없음
2.02E+15,2019년 12월 14일 16시,토요일,서울특별시 용산구 원효로1가,백범로,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승합,남,74세,상해없음
2.02E+15,2019년 10월 9일 16시,수요일,서울특별시 용산구 한강로2가,한강대로23길,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승합,남,32세,경상,승용,남,74세,상해없음
2.02E+15,2019년 4월 15일 17시,월요일,서울특별시 용산구 용산동5가,서빙고로,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,남,74세,상해없음
2.02E+15,2019년 1월 26일 16시,토요일,서울특별시 용산구 한강로3가,한강대로21나길,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,건설기계,남,51세,상해없음,보행자,여,74세,중상
2.02E+15,2019년 1월 4일 12시,금요일,서울특별시 용산구 이촌동,이촌로,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,57세,상해없음,승용,남,74세,경상
2.02E+15,2019년 11월 19일 10시,화요일,서울특별시 용산구 이태원동,보광로,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,여,33세,상해없음,보행자,남,74세,중상
2.02E+15,2019년 1월 3일 09시,목요일,서울특별시 용산구 한남동,한남대로,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승합,남,74세,상해없음
2.02E+15,2019년 9월 13일 16시,금요일,서울특별시 용산구 원효로4가,강변북로,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,60세,상해없음,자전거,남,73세,중상
