사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.02E+15,2019년 2월 9일 08시,토요일,서울특별시 은평구 불광동,통일로,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,원동기,남,46세,상해없음,보행자,여,88세,경상
2.02E+15,2019년 5월 25일 11시,토요일,서울특별시 은평구 대조동,서오릉로,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,56세,상해없음,이륜,남,87세,중상
2.02E+15,2019년 10월 23일 22시,수요일,서울특별시 은평구 응암동,가좌로,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,40세,상해없음,기타불명,여,87세,경상
2.02E+15,2019년 9월 26일 15시,목요일,서울특별시 은평구 역촌동,연서로14길,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,81세,상해없음,보행자,여,87세,경상
2.02E+15,2019년 8월 12일 06시,월요일,서울특별시 은평구 대조동,서오릉로,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로부근,화물,남,67세,상해없음,보행자,남,86세,중상
2.02E+15,2019년 10월 8일 14시,화요일,서울특별시 은평구 불광동,불광로,중상사고,0,1,0,0,차대사람 - 기타,불법유턴,포장 - 건조,맑음,단일로 - 기타,화물,남,50세,상해없음,보행자,여,85세,중상
2.02E+15,2019년 7월 15일 11시,월요일,서울특별시 은평구 응암동,응암로12길,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,51세,상해없음,보행자,여,85세,경상
2.02E+15,2019년 4월 26일 08시,금요일,서울특별시 은평구 응암동,가좌로10길,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,54세,상해없음,보행자,여,85세,중상
2.02E+15,2019년 6월 28일 20시,금요일,서울특별시 은평구 응암동,응암로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,23세,상해없음,보행자,여,84세,중상
2.02E+15,2019년 3월 1일 13시,금요일,서울특별시 은평구 수색동,수색로,부상신고사고,0,0,0,1,차대사람 - 횡단중,기타,포장 - 건조,맑음,단일로 - 기타,승합,남,60세,상해없음,보행자,여,83세,부상신고
