사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.02E+15,2019년 2월 11일 19시,월요일,서울특별시 종로구 부암동,자하문로,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,64세,상해없음,보행자,여,90세 이상,사망
2.02E+15,2019년 12월 19일 06시,목요일,서울특별시 종로구 통의동,자하문로10길,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,61세,상해없음,보행자,여,85세,중상
2.02E+15,2019년 3월 24일 13시,일요일,서울특별시 종로구 신문로2가,경희궁길,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,승용,여,50세,상해없음,보행자,여,84세,중상
2.02E+15,2019년 1월 13일 18시,일요일,서울특별시 종로구 종로3가,종로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,59세,상해없음,보행자,남,83세,중상
2.02E+15,2019년 10월 11일 15시,금요일,서울특별시 종로구 통의동,자하문로10길,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,77세,상해없음,보행자,여,82세,중상
2.02E+15,2019년 4월 1일 09시,월요일,서울특별시 종로구 운니동,율곡로,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,42세,상해없음,이륜,남,82세,중상
2.02E+15,2019년 1월 8일 14시,화요일,서울특별시 종로구 장사동,청계천로,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,43세,상해없음,보행자,여,82세,중상
2.02E+15,2019년 2월 1일 07시,금요일,서울특별시 종로구 연건동,대학로,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,승용,남,82세,상해없음
2.02E+15,2019년 2월 17일 00시,일요일,서울특별시 종로구 옥인동,옥인길,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 지하차도(도로)내,승용,남,68세,상해없음,보행자,남,81세,중상
2.02E+15,2019년 10월 13일 11시,일요일,서울특별시 종로구 종로2가,종로,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,41세,상해없음,보행자,남,81세,부상신고
2.02E+15,2019년 11월 26일 11시,화요일,서울특별시 종로구 창신동,지봉로,중상사고,0,1,0,1,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,70세,상해없음,보행자,여,81세,중상
2.02E+15,2019년 1월 5일 17시,토요일,서울특별시 종로구 구기동,진흥로,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,69세,상해없음,이륜,남,81세,중상
2.02E+15,2019년 2월 7일 11시,목요일,서울특별시 종로구 익선동,삼일대로30길,부상신고사고,0,0,0,1,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 지하차도(도로)내,승용,여,51세,상해없음,보행자,여,79세,부상신고
2.02E+15,2019년 3월 28일 12시,목요일,서울특별시 종로구 낙원동,삼일대로,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,보행자,여,79세,중상
2.02E+15,2019년 10월 16일 14시,수요일,서울특별시 종로구 재동,율곡로,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승합,남,62세,상해없음,보행자,여,79세,중상
2.02E+15,2019년 3월 29일 13시,금요일,서울특별시 종로구 구기동,진흥로22길,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 지하차도(도로)내,승용,남,63세,상해없음,보행자,남,79세,경상
2.02E+15,2019년 6월 25일 11시,화요일,서울특별시 종로구 낙원동,수표로,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,69세,상해없음,보행자,남,78세,중상
2.02E+15,2019년 5월 9일 09시,목요일,서울특별시 종로구 견지동,우정국로,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,60세,상해없음,원동기,남,77세,경상
2.02E+15,2019년 5월 11일 19시,토요일,서울특별시 종로구 낙원동,수표로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 지하차도(도로)내,화물,남,59세,상해없음,보행자,남,77세,중상
2.02E+15,2019년 4월 26일 05시,금요일,서울특별시 종로구 예지동,창경궁로,중상사고,0,2,1,1,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승합,남,38세,부상신고,승용,남,77세,중상
