사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.02E+15,2019년 6월 5일 14시,수요일,서울특별시 중구 을지로2가,삼일대로10길,중상사고,0,2,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,47세,상해없음,보행자,여,90세 이상,중상
2.02E+15,2019년 12월 6일 19시,금요일,서울특별시 중구 수표동,청계천로,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,28세,상해없음,보행자,남,90세 이상,중상
2.02E+15,2019년 6월 7일 11시,금요일,서울특별시 중구 을지로3가,을지로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,67세,상해없음,보행자,남,90세 이상,중상
2.02E+15,2019년 11월 29일 17시,금요일,서울특별시 중구 신당동,청구로8길,중상사고,0,1,0,0,차대사람 - 차도통행중,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,52세,상해없음,보행자,여,89세,중상
2.02E+15,2019년 1월 30일 21시,수요일,서울특별시 중구 을지로6가,장충단로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,28세,상해없음,보행자,여,88세,중상
2.02E+15,2019년 11월 1일 09시,금요일,서울특별시 중구 신당동,다산로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,58세,상해없음,보행자,여,86세,중상
2.02E+15,2019년 5월 15일 14시,수요일,서울특별시 중구 신당동,다산로,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,17세,상해없음,자전거,남,85세,중상
2.02E+15,2019년 8월 12일 15시,월요일,서울특별시 중구 오장동,을지로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,63세,기타불명,보행자,여,84세,중상
2.02E+15,2019년 11월 29일 15시,금요일,서울특별시 중구 신당동,매봉길,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,35세,상해없음,보행자,남,84세,중상
2.02E+15,2019년 1월 18일 23시,금요일,서울특별시 중구 중림동,중림로,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,이륜,남,29세,상해없음,보행자,여,84세,중상
2.02E+15,2019년 1월 15일 05시,화요일,서울특별시 중구 신당동,다산로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,28세,상해없음,보행자,여,82세,중상
2.02E+15,2019년 5월 23일 02시,목요일,서울특별시 중구 충무로1가,퇴계로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,43세,상해없음,보행자,여,81세,중상
2.02E+15,2019년 3월 11일 09시,월요일,서울특별시 중구 충무로4가,충무로,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,화물,남,59세,상해없음,보행자,남,81세,중상
2.02E+15,2019년 1월 14일 17시,월요일,서울특별시 중구 충무로4가,창경궁로1길,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,55세,경상,이륜,남,79세,상해없음
2.02E+15,2019년 12월 10일 18시,화요일,서울특별시 중구 을지로1가,무교로,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,흐림,단일로 - 지하차도(도로)내,승용,여,35세,경상,승용,여,78세,상해없음
2.02E+15,2019년 11월 15일 13시,금요일,서울특별시 중구 황학동,마장로9길,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,여,48세,상해없음,보행자,여,78세,중상
2.02E+15,2019년 12월 13일 04시,금요일,서울특별시 중구 무교동,세종대로20길,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,44세,상해없음,보행자,남,77세,경상
2.02E+15,2019년 12월 12일 11시,목요일,서울특별시 중구 태평로1가,세종대로,중상사고,0,1,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,65세,상해없음,승용,남,77세,중상
2.02E+15,2019년 5월 22일 13시,수요일,서울특별시 중구 봉래동2가,청파로,중상사고,0,1,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,이륜,남,81세,중상,승용,남,77세,상해없음
