사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.01911E+15,2019년 11월 17일 20시,일요일,서울특별시 중랑구 면목동,용마산로,중상사고,0,2,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,맑음,단일로 - 기타,이륜,남,32세,중상,보행자,여,90세 이상,중상
2.01908E+15,2019년 8월 14일 20시,수요일,서울특별시 중랑구 면목동,용마산로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,43세,상해없음,보행자,여,86세,중상
2.01911E+15,2019년 11월 23일 20시,토요일,서울특별시 중랑구 면목동,용마산로,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,28세,상해없음,보행자,여,86세,중상
2.01911E+15,2019년 11월 16일 03시,토요일,서울특별시 중랑구 망우동,용마산로118길,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,47세,상해없음,보행자,여,85세,경상
2.01903E+15,2019년 3월 15일 09시,금요일,서울특별시 중랑구 상봉동,봉화산로,부상신고사고,0,0,0,1,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,83세,부상신고,승용,남,84세,상해없음
2.01904E+15,2019년 4월 5일 17시,금요일,서울특별시 중랑구 신내동,봉화산로56길,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,건설기계,남,53세,상해없음,보행자,여,84세,중상
2.01912E+15,2019년 12월 5일 09시,목요일,서울특별시 중랑구 면목동,동일로,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,61세,상해없음,자전거,남,83세,중상
2.0191E+15,2019년 10월 22일 18시,화요일,서울특별시 중랑구 면목동,동일로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,흐림,단일로 - 지하차도(도로)내,승용,남,26세,상해없음,보행자,여,83세,중상
2.01904E+15,2019년 4월 15일 15시,월요일,서울특별시 중랑구 면목동,용마산로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,38세,상해없음,보행자,남,83세,중상
2.01911E+15,2019년 11월 14일 11시,목요일,서울특별시 중랑구 중화동,봉화산로30길,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,39세,상해없음,보행자,여,83세,경상
2.01912E+15,2019년 12월 6일 17시,금요일,서울특별시 중랑구 묵동,동일로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,69세,상해없음,보행자,남,83세,중상
2.01903E+15,2019년 3월 12일 05시,화요일,서울특별시 중랑구 중화동,망우로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,71세,상해없음,보행자,남,82세,중상
2.01907E+15,2019년 7월 25일 11시,목요일,서울특별시 중랑구 묵동,신내로25가길,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,여,53세,상해없음,보행자,남,82세,경상
2.01911E+15,2019년 11월 19일 18시,화요일,서울특별시 중랑구 묵동,공릉로2라길,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,54세,상해없음,보행자,남,82세,중상
2.01905E+15,2019년 5월 11일 14시,토요일,서울특별시 중랑구 묵동,동일로163길,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,42세,상해없음,자전거,남,82세,경상
2.01909E+15,2019년 9월 19일 22시,목요일,서울특별시 중랑구 신내동,신내로,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,33세,상해없음,보행자,남,82세,경상
2.01906E+15,2019년 6월 1일 04시,토요일,서울특별시 중랑구 면목동,사가정로,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,65세,상해없음,보행자,여,81세,경상
