location,,,,경도,위도
서울특별시 강남구 역삼동 강남대로,,,,127.0134839,37.52673151
서울특별시 강남구 역삼동 언주로70길,,,,127.0474245,37.49675719
서울특별시 강남구 개포동 양재대로,,,,127.0519305,37.47151948
서울특별시 강남구 개포동 논현로16길,,,,127.0473444,37.47563444
서울특별시 강남구 개포동 논현로,,,,127.0354589,37.50291718
서울특별시 강남구 개포동 언주로,,,,127.0436786,37.50206736
서울특별시 강남구 청담동 도산대로,,,,127.0406018,37.52296592
서울특별시 강남구 삼성동 학동로,,,,127.0362596,37.51612782
서울특별시 강남구 삼성동 봉은사로86길,,,,127.0568187,37.51251618
서울특별시 강남구 대치동 분당수서로,,,,127.0759313,37.5009055
서울특별시 강남구 대치동 도곡로,,,,127.051929,37.49598194
서울특별시 강남구 신사동 압구정로,,,,127.0444209,37.52648702
서울특별시 강남구 신사동 가로수길,,,,127.0228869,37.5209292
서울특별시 강남구 논현동 언주로114길,,,,127.039799,37.51090842
서울특별시 강남구 논현동 선릉로,,,,127.0490615,37.50435038
서울특별시 강남구 압구정동 언주로,,,,127.0436786,37.50206736
서울특별시 강남구 세곡동 헌릉로,,,,127.1076435,37.46478126
서울특별시 강남구 일원동 일원로,,,,127.0823425,37.48760712
서울특별시 강남구 일원동 분당수서로,,,,127.0759313,37.5009055
서울특별시 강남구 도곡동 언주로30길,,,,127.0531407,37.48843393
서울특별시 강남구 도곡동 논현로,,,,127.0354589,37.50291718
서울특별시 강남구 도곡동 언주로,,,,127.0436786,37.50206736
서울특별시 강남구 도곡동 남부순환로,,,,127.0378836,37.48506843
서울특별시 강남구 역삼동 테헤란로,,,,127.0474869,37.5040591
서울특별시 강남구 역삼동 선릉로,,,,127.0490615,37.50435038
서울특별시 강남구 역삼동 강남대로78길,,,,127.0319518,37.49597694
서울특별시 강남구 청담동 영동대로,,,,127.0595518,37.51657184
서울특별시 강남구 삼성동 삼성로,,,,127.0593942,37.50277514
서울특별시 강남구 삼성동 삼성로96길,,,,127.05814,37.50865697
서울특별시 강남구 삼성동 봉은사로,,,,127.0615169,37.51389108
서울특별시 강남구 대치동 테헤란로87길,,,,127.0584149,37.50959969
서울특별시 강남구 대치동 영동대로,,,,127.0595518,37.51657184
서울특별시 강남구 대치동 테헤란로104길,,,,127.0651642,37.50822348
서울특별시 강남구 신사동 올림픽대로,,,,127.0415828,37.53102897
서울특별시 강남구 논현동 도산대로24길,,,,127.0265615,37.51791342
서울특별시 강남구 논현동 봉은사로,,,,127.0615169,37.51389108
서울특별시 강남구 논현동 논현로,,,,127.0354589,37.50291718
서울특별시 강남구 논현동 도산대로50길,,,,127.0376152,37.52065985
서울특별시 강남구 일원동 양재대로55길,,,,127.087605,37.49207762
서울특별시 강남구 수서동 분당수서로,,,,127.0759313,37.5009055
서울특별시 강남구 도곡동 도곡로,,,,127.051929,37.49598194
서울특별시 강남구 역삼동 도곡로7길,,,,127.0345794,37.49160611
서울특별시 강남구 역삼동 논현로85길,,,,127.0349777,37.49830733
서울특별시 강남구 개포동 개포로,,,,127.0775527,37.49365878
서울특별시 강남구 청담동 학동로97길,,,,127.0539351,37.52243862
서울특별시 강남구 청담동 도산대로68길,,,,127.0445657,37.52092323
서울특별시 강남구 청담동 학동로,,,,127.0362596,37.51612782
서울특별시 강남구 대치동 테헤란로88길,,,,127.0599204,37.50670568
서울특별시 강남구 대치동 남부순환로,,,,127.0378836,37.48506843
서울특별시 강남구 대치동 테헤란로,,,,127.0474869,37.5040591
서울특별시 강남구 신사동 도산대로,,,,127.0406018,37.52296592
서울특별시 강남구 논현동 도산대로,,,,127.0406018,37.52296592
서울특별시 강남구 논현동 학동로,,,,127.0362596,37.51612782
서울특별시 강남구 논현동 봉은사로7길,,,,127.0270848,37.50715103
서울특별시 강남구 논현동 압구정로,,,,127.0444209,37.52648702
서울특별시 강남구 논현동 언주로,,,,127.0436786,37.50206736
서울특별시 강남구 압구정동 압구정로,,,,127.0444209,37.52648702
서울특별시 강남구 일원동 일원로3길,,,,127.0837362,37.49239428
서울특별시 강남구 수서동 광평로51길,,,,127.1014888,37.48995779
서울특별시 강남구 역삼동 테헤란로51길,,,,127.0453849,37.50592074
서울특별시 강남구 역삼동 언주로,,,,127.0436786,37.50206736
서울특별시 강남구 역삼동 봉은사로,,,,127.0615169,37.51389108
서울특별시 강남구 청담동 올림픽대로,,,,127.0415828,37.53102897
서울특별시 강남구 대치동 선릉로,,,,127.0490615,37.50435038
서울특별시 강남구 압구정동 올림픽대로,,,,127.0415828,37.53102897
서울특별시 강남구 수서동 밤고개로1길,,,,127.103019,37.48875287
서울특별시 강남구 수서동 광평로34길,,,,127.0918086,37.48147549
서울특별시 강남구 수서동 광평로,,,,127.104792,37.48876908
서울특별시 강남구 개포동 논현로10길,,,,127.0498475,37.47444958
서울특별시 강남구 삼성동 선릉로,,,,127.0490615,37.50435038
서울특별시 강남구 삼성동 테헤란로78길,,,,127.0548705,37.50517344
서울특별시 강남구 대치동 삼전로,,,,127.0876522,37.50392907
서울특별시 강남구 대치동 테헤란로78길,,,,127.0548705,37.50517344
서울특별시 강남구 신사동 논현로,,,,127.0354589,37.50291718
서울특별시 강남구 논현동 신반포로,,,,126.9905371,37.50263344
서울특별시 강남구 일원동 양재대로,,,,127.0519305,37.47151948
서울특별시 강남구 역삼동 봉은사로44길,,,,127.0413022,37.50674235
서울특별시 강남구 역삼동 도곡로,,,,127.051929,37.49598194
서울특별시 강남구 역삼동 논현로94길,,,,127.0382455,37.50316504
서울특별시 강남구 삼성동 테헤란로,,,,127.0474869,37.5040591
서울특별시 강남구 대치동 삼성로,,,,127.0593942,37.50277514
서울특별시 강남구 논현동 강남대로,,,,127.0134839,37.52673151
서울특별시 강남구 논현동 학동로6길,,,,127.023558,37.51097969
서울특별시 강남구 자곡동 밤고개로,,,,127.1056497,37.47817823
서울특별시 강남구 역삼동 역삼로,,,,127.0574759,37.50310416
서울특별시 강남구 역삼동 봉은사로2길,,,,127.025991,37.50322857
서울특별시 강남구 개포동 선릉로,,,,127.0490615,37.50435038
서울특별시 강남구 청담동 삼성로133길,,,,127.0486823,37.51950791
서울특별시 강남구 삼성동 선릉로126길,,,,127.0435754,37.51470533
서울특별시 강남구 대치동 삼성로75길,,,,127.0553669,37.50342157
서울특별시 강남구 압구정동 강남대로,,,,127.0134839,37.52673151
서울특별시 강남구 자곡동 자곡로3길,,,,127.0898178,37.47111133
서울특별시 강남구 율현동 헌릉로757길,,,,127.1191675,37.47138192
서울특별시 강남구 수서동 밤고개로,,,,127.1056497,37.47817823
서울특별시 강남구 청담동 삼성로,,,,127.0593942,37.50277514
서울특별시 강남구 압구정동 논현로189길,,,,127.0202391,37.52621689
서울특별시 강남구 자곡동 자곡로,,,,127.1044906,37.47430991
서울특별시 강남구 일원동 양재대로33길,,,,127.082718,37.49077288
서울특별시 강남구 도곡동 남부순환로365길,,,,127.0395669,37.48730014
서울특별시 강남구 도곡동 남부순환로363길,,,,127.0384051,37.48659144
서울특별시 강남구 역삼동 도곡로3길,,,,127.0329326,37.49109957
서울특별시 강남구 청담동 선릉로,,,,127.0490615,37.50435038
서울특별시 강남구 대치동 역삼로,,,,127.0574759,37.50310416
서울특별시 강남구 신사동 언주로,,,,127.0436786,37.50206736
서울특별시 강남구 일원동 개포로124길,,,,127.0830457,37.49347941
서울특별시 강남구 삼성동 영동대로,,,,127.0595518,37.51657184
서울특별시 강남구 대치동 양재천로,,,,127.056655,37.48860653
서울특별시 강남구 역삼동 서초대로,,,,126.9998387,37.48890294
서울특별시 강남구 대치동 삼성로71길,,,,127.056733,37.50140341
서울특별시 강남구 대치동 선릉로86길,,,,127.0504948,37.50282754
서울특별시 강남구 압구정동 논현로,,,,127.0354589,37.50291718
서울특별시 강남구 도곡동 선릉로,,,,127.0490615,37.50435038
서울특별시 강남구 삼성동 테헤란로69길,,,,127.0526136,37.50635282
서울특별시 강남구 논현동 언주로126길,,,,127.0372635,37.51379352
서울특별시 강남구 압구정동 논현로190길,,,,127.0290719,37.53264897
서울특별시 강남구 일원동 개포로,,,,127.0775527,37.49365878
서울특별시 강남구 역삼동 선릉로93길,,,,127.0462952,37.50466055
서울특별시 강남구 논현동 논현로145길,,,,127.0256027,37.51705282
서울특별시 강남구 수서동 광평로39길,,,,127.0987496,37.48906169
서울특별시 강남구 청담동 선릉로132길,,,,127.0438014,37.51874708
서울특별시 강남구 논현동 학동로20길,,,,127.0269024,37.50962507
서울특별시 강남구 개포동 개포로22길,,,,127.0507062,37.47641476
서울특별시 강동구 성내동 천호대로,,,,127.1369883,37.53373437
서울특별시 강동구 천호동 구천면로,,,,127.1466497,37.55056387
서울특별시 강동구 성내동 양재대로,,,,127.1430454,37.54595852
서울특별시 강동구 명일동 상암로,,,,127.1465774,37.54654957
서울특별시 강동구 고덕동 동남로81길,,,,127.153176,37.55945575
서울특별시 강동구 암사동 상암로,,,,127.1465774,37.54654957
서울특별시 강동구 강일동 아리수로93길,,,,127.1740409,37.56485472
서울특별시 강동구 성내동 강동대로53길,,,,127.1322734,37.52664343
서울특별시 강동구 성내동 강동대로,,,,127.1330332,37.52179267
서울특별시 강동구 천호동 천중로,,,,127.1317725,37.54391415
서울특별시 강동구 명일동 양재대로,,,,127.1430454,37.54595852
서울특별시 강동구 길동 천중로40길,,,,127.1382476,37.53928966
서울특별시 강동구 둔촌동 동남로49길,,,,127.1457034,37.53198799
서울특별시 강동구 강일동 초광로,,,,127.1737972,37.54629146
서울특별시 강동구 길동 천호대로,,,,127.1369883,37.53373437
서울특별시 강동구 성내동 성안로,,,,127.1329394,37.532457
서울특별시 강동구 성내동 성내로14길,,,,127.1270377,37.52567492
서울특별시 강동구 둔촌동 동남로,,,,127.1529749,37.53962994
서울특별시 강동구 암사동 선사로,,,,127.1225585,37.54776589
서울특별시 강동구 천호동 상암로,,,,127.1465774,37.54654957
서울특별시 강동구 천호동 올림픽로92길,,,,127.1285531,37.54755797
서울특별시 강동구 상일동 상일로10길,,,,127.1744629,37.55100563
서울특별시 강동구 상일동 구천면로,,,,127.1466497,37.55056387
서울특별시 강동구 암사동 암사길,,,,127.1402677,37.55239954
서울특별시 강동구 천호동 천호대로,,,,127.1369883,37.53373437
서울특별시 강동구 명일동 고덕로,,,,127.1279265,37.55516272
서울특별시 강동구 천호동 양재대로,,,,127.1430454,37.54595852
서울특별시 강동구 고덕동 고덕로,,,,127.1279265,37.55516272
서울특별시 강동구 상일동 상일로,,,,127.1722106,37.55060337
서울특별시 강동구 상일동 천호대로219길,,,,127.1708172,37.54816372
서울특별시 강동구 암사동 올림픽로,,,,127.1277866,37.54920616
서울특별시 강동구 암사동 구천면로,,,,127.1466497,37.55056387
서울특별시 강동구 성내동 성내로,,,,127.121359,37.52987318
서울특별시 강동구 상일동 동남로,,,,127.1529749,37.53962994
서울특별시 강동구 암사동 올림픽대로,,,,127.1334348,37.56520762
서울특별시 강동구 성내동 풍성로,,,,127.1316234,37.53067233
서울특별시 강동구 천호동 천호대로151길,,,,127.1231284,37.54024116
서울특별시 강동구 천호동 올림픽로,,,,127.1277866,37.54920616
서울특별시 강동구 강일동 미사대로,,,,127.2315618,37.54289903
서울특별시 강동구 강일동 아리수로,,,,127.1544648,37.56228706
서울특별시 강동구 둔촌동 양재대로,,,,127.1430454,37.54595852
서울특별시 강동구 천호동 선사로,,,,127.1225585,37.54776589
