장소유형코드,대상시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,제한속도,관리기관명,관리기관전화번호,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
1,금일읍경로조합복지회관,전라남도,완도군,49900,전남 완도군 금일읍 금일로 381,전라남도 완도군 금일읍 화목리 973 감목리새마을회,34.349535,127.028428,30,전라남도 완도군청,061-550-5773,완도경찰서,N,,,2020-09-02,4990000,전라남도 완도군
1,월평동 경로당,제주특별자치도,제주시,50110,제주특별자치도 제주시 월평5길 2,제주특별자치도 제주시 월평동 1039-1,33.47005247,126.5753825,30,자치경찰단,064-710-6413,제주동부경찰서,N,,,2021-10-01,6500000,제주특별자치도
1,위미리 자미성,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 남원읍 자배오름로139번길 157,제주특별자치도 서귀포시 남원읍 위미리 2506,33.29124864,126.6617827,30,자치경찰단,064-710-6413,서귀포경찰서,N,,,2021-10-01,6500000,제주특별자치도
1,은빛마을노인복지센터,제주특별자치도,제주시,50110,제주특별자치도 제주시 조천읍 함덕20길 42,제주특별자치도 제주시 조천읍 함덕리 919-3,33.53824806,126.6669219,30,자치경찰단,064-710-6413,제주동부경찰서,N,,,2021-10-01,6500000,제주특별자치도
2,자광원,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 이어도로343번길 101,제주특별자치도 서귀포시 대포동 1146-1,33.24751764,126.4484693,30,자치경찰단,064-710-6413,서귀포경찰서,N,,,2021-10-01,6500000,제주특별자치도
2,작은예수의집,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 속골로 24,제주특별자치도 서귀포시 호근동 1586-4,33.24199075,126.5296296,30,자치경찰단,064-710-6413,서귀포경찰서,N,,,2021-10-01,6500000,제주특별자치도
1,저지리 경로당,제주특별자치도,제주시,50110,제주특별자치도 제주시 한경면 중산간서로 3675,제주특별자치도 제주시 한경면 저지리 1863-1,33.3327001,126.2558494,30,자치경찰단,064-710-6413,제주서부경찰서,N,,,2021-10-01,6500000,제주특별자치도
1,정방동경로당,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 동부로12번길 15-4,제주특별자치도 서귀포시 서귀동 234-13,33.24686998,126.5706519,50,자치경찰단,064-710-6413,서귀포경찰서,N,,,2021-10-01,6500000,제주특별자치도
2,정혜재활원,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 인정오름로85번길 41,제주특별자치도 서귀포시 토평동 2895,33.28467656,126.5814771,30,자치경찰단,064-710-6413,서귀포경찰서,N,,,2021-10-01,6500000,제주특별자치도
1,제광원,제주특별자치도,제주시,50110,제주특별자치도 제주시 오라남로 57-10,제주특별자치도 제주시 오라이동 275,33.45541596,126.5136982,30,자치경찰단,064-710-6413,제주동부경찰서,N,,,2021-10-01,6500000,제주특별자치도
1,제일 요양원,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 정방연로 52-8,제주특별자치도 서귀포시 토평동 808-1,33.25229322,126.5778468,30,자치경찰단,064-710-6413,서귀포경찰서,N,,,2021-10-01,6500000,제주특별자치도
1,제주도립요양원,제주특별자치도,제주시,50110,제주특별자치도 제주시 산천단남길 10,제주특별자치도 제주시 아라일동 4-17,33.44489118,126.5608469,30,자치경찰단,064-710-6413,제주동부경찰서,N,,,2021-10-01,6500000,제주특별자치도
